dia,casos_reales,observaciones,estimacion_kalman,incertidumbre
0,100.0,116.0714625698011,116.0714625698011,0.31614874265901044
1,121.55585662267572,112.95221500131542,112.95841045294,0.3159135640211525
2,147.7873531376887,147.48532362010937,141.4873262083918,0.28993209744666726
3,179.69690767617624,164.85329854777473,162.81633726866804,0.2691396409218551
4,218.49672060984147,200.2506668081202,193.59848390852727,0.2551232481609369
5,265.6502435365823,270.0026888661752,249.20106315418496,0.24688183901689412
6,322.92069382040404,304.37001824932184,296.0040971316612,0.24277924005753765
7,392.4272505714376,384.14794686844135,363.58889952296204,0.24111122827063802
8,476.70932062995416,455.4116190306818,437.4296959803727,0.240584370209924
9,578.7988110463542,597.2743396858275,554.2766115994397,0.2404691237213676
10,702.299595350989,705.450369210371,674.9373753978309,0.24045770656749255
11,851.4721958474452,835.7921583267968,807.465218604639,0.24045752287103145
12,1031.3199796453866,1112.6057172785563,1029.2354036398228,0.24045377185780595
13,1247.6707241299364,1301.676236702034,1249.2235456659532,0.240449028842416
14,1507.2441021962966,1603.5209378930488,1527.3091151495994,0.2404456712502401
15,1817.691388365226,2035.1192741004725,1909.7981986363575,0.24044395430631954
16,2187.588570576227,2367.268453814901,2288.9239731104217,0.24044328030881632
17,2626.3584438389557,2590.281731036476,2593.8880544025815,0.24044308146432966
18,3144.0920226770327,2613.7486434493453,2735.369860492972,0.24044304300204983
19,3751.236295712582,3331.4653353805397,3185.009108080519,0.24044304045309278
20,4458.116354621532,4708.440565516228,4200.849164320105,0.24044303999297462
21,5274.268427098539,5718.224657490339,5317.44488850946,0.2404430377559806
22,6207.57974855061,5766.152117772138,5898.531197081932,0.2404430354033432
23,7263.263998348222,7109.927889597828,6893.360026835647,0.24044303387824564
24,8442.746807043033,8478.86428129209,8148.953085654226,0.2404430331468391
25,9742.589049251561,9269.882937436514,9203.724575361452,0.24044303287708543
26,11153.623971898676,11123.032743450754,10733.649943155378,0.24044303280363125
27,12660.509435220698,9784.80834553206,10685.393451234075,0.24044303279140025
28,14241.879174197831,15744.871686930583,13925.742243518485,0.24044303279099044
29,15871.204738637874,14890.897309569693,15172.68631848898,0.24044303279050064
30,17518.356928791534,15512.150917842864,16000.022807593343,0.24044303278924706
31,19151.707859529084,20122.61805427484,18914.288522795854,0.24044303278810863
32,20740.484773718523,24982.156055895153,23201.35659378946,0.24044303278742699
33,22257.01858519802,22838.169947367936,24136.216316327427,0.24044303278711981
34,23678.550225648603,21364.082714869743,23411.782734073604,0.2404430327870136
35,24988.36125489002,24720.548362429126,24626.04582986439,0.24044303278698714
36,26176.14678902721,22690.835935297495,23984.284514488056,0.24044303278698348
37,27237.699320839387,24521.33738852848,24506.1408119293,0.24044303278698348
38,28174.0795291386,33287.44317076251,29797.354166230143,0.2404430327869831
39,28990.49524072013,33089.19142818781,32631.798375188177,0.24044303278698242
40,29695.097331854195,31087.96196822479,32764.548014806,0.24044303278698187
41,30297.852138682545,26919.862209925992,30066.491394295277,0.24044303278698156
42,30809.587825004128,32394.035539800294,31446.731758663012,0.24044303278698148
43,31241.25545246477,33908.82949558634,33099.33294860619,0.2404430327869814
44,31603.403689862083,29848.772232532487,31615.549986901155,0.2404430327869814
45,31905.84103512006,34003.4049981806,33028.60846836452,0.2404430327869814
46,32157.44839318432,32299.864240446495,32840.09047655495,0.2404430327869814
47,32366.1034807849,27699.819716926795,29990.18335638434,0.2404430327869814
48,32538.6826438676,36843.255720502115,33603.540474422014,0.2404430327869814
49,32681.11213004273,32548.567829792562,33310.45287809148,0.2404430327869814
50,32798.44765949184,33432.17973754246,33541.1613674093,0.2404430327869814
51,32894.96722319644,30049.946327769096,31660.740810190477,0.2404430327869814
52,32974.26698472839,34630.00075397167,33184.45579740714,0.2404430327869814
53,33039.353922677896,34747.30687859794,34191.9935641627,0.2404430327869814
54,33092.73156103119,31171.467345846617,32663.808830368125,0.2404430327869814
55,33136.47699694549,34770.7254728651,33793.42541824513,0.2404430327869814
56,33172.308654347384,31717.993787185223,32705.83983248798,0.2404430327869814
